#,✓,Name,Quiddity,Rank,Power,Momentum,Target Momentum,Freeze Ticks
23,X,Emdre,Manipulation,14,85.7219645979087,0.320060349004432,0.620228138097518,3,~,#0.1,#-0.5,#0,#0.25,#0.1,#0.4,#0.2,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0
21,X,Helade,the Soul,3,82.3164882707567,-0.408072601899345,-0.204942916807482,2,#-0.1,~,#0.1,#0.3,#0.2,#0,#-0.3,#0.1,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0
24,X,Vandine,Law,7,79.2269732637203,0.356966276337604,-0.527495813370333,5,#-0.5,#0.15,~,#-0.1,#0.3,#-0.1,#-0.4,-0.4,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0
32,X,Azimech,Propagation,19,78.789838192181,0.25676506259135,-0.175463235281502,3,#0,#0.3,#0,~,#0.3,#0.3,#-0.4,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0
10,X,Abcadef,Language,23,71.7141107917323,0.0279603345523178,-0.103115267816802,0,#0.2,#0.2,#0.3,#0.3,~,#-0.1,#-0.2,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0
37,X,Tiveal,Flight,49,29.0280053166777,0.407561040440764,-0.629575706313251,2,#0,#0.05,#-0.1,#0.3,#-0.1,~,#-0.4,#-0.2,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0
52,X,Zere,Poison,46,26.7950506752438,-0.59045826024753,-0.733191736270091,0,#0.4,#-0.2,#-0.4,#-0.4,#-0.2,#-0.5,~,#0.1,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0
25,X,Vicunius,Apathy,63,7.23816046520339,-0.0109140421037432,0.301108343991425,2,#0.2,#0,-0.2,#-0.2,#0.1,#-0.2,#0.15,~,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0
8,/,Coron,Isolation,59,0,0,0,0,#0,#0,#0,#0,#0,#0,#0,#0,~,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0
9,/,Yesrem,Currency,12,0,0,0,0,#0,#0,#0,#0,#0,#0,#0,#0,#0,~,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0
15,/,Réos,Gods,1,0,0,0,0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,~,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0
18,/,Naramn,Warmth,52,0,0,0,0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,~,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0
26,/,Oroz,Paths,44,0,0,0,0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,~,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0
34,/,Ursn,Stone,2,0,0,0,0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,~,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0
43,/,Levfe,Glass,48,0,0,0,0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,~,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0,#0
